"省份","城市","消费金额","消费金额占比"
"广西","贵港","2198.07","0.00136794052911735789"
"云南","曲靖","2156.82","0.00134226912337227651"
"四川","南充","2138.28","0.00133073099337194176"
"广东","阳江","2129.35","0.00132517352298882475"
"云南","怒江","2105.23","0.00131016275192042808"
"陕西","汉中","2083.55","0.00129667048339792228"
"陕西","安康","2072.80","0.00128998035947647683"
"云南","大理","2056.34","0.00127973669066280315"
"广西","柳州","2026.19","0.00126097322682730731"
"陕西","渭南","2014.32","0.00125358608534381359"
"安徽","宿州","1990.79","0.00123894249316971020"
"福建","龙岩","1988.82","0.00123771648906503601"
"西藏","拉萨","1943.62","0.00120958685173951655"
"河北","张家口","1916.24","0.00119254726169587223"
"陕西","榆林","1888.28","0.00117514671612902435"
"安徽","亳州","1881.74","0.00117107663143634963"
"青海","海东","1851.49","0.00115225093388995662"
"福建","南平","1850.50","0.00115163482015207467"
"江苏","南通","1837.44","0.00114350709750890466"
"陕西","延安","1786.14","0.00111158120381865801"
"内蒙古","通辽","1782.82","0.00110951504461687207"
"辽宁","铁岭","1781.29","0.00110856286884014541"
"新疆","伊犁","1759.55","0.00109503326009110132"
"海南","三亚","1753.22","0.00109109386619131065"
"辽宁","锦州","1682.52","0.00104709463258701360"
"安徽","蚌埠","1664.36","0.00103579299068808808"
"四川","雅安","1652.69","0.00102853031662638870"
"山西","运城","1640.12","0.00102070753916661481"
"贵州","六盘水","1597.39","0.00099411507450025537"
"贵州","黔南","1576.91","0.00098136961050851557"
"云南","玉溪","1552.32","0.00096606634099890222"
"吉林","松原","1500.11","0.00093357412053949134"
"河南","平顶山","1453.98","0.00090486570970262822"
"山东","泰安","1443.93","0.00089861122175746294"
"黑龙江","大庆","1436.14","0.00089376321567857364"
"四川","遂宁","1390.06","0.00086508592169715910"
"山西","临汾","1353.36","0.00084224614979789882"
"辽宁","本溪","1344.39","0.00083666378593042295"
"河北","秦皇岛","1332.10","0.00082901526286116113"
"湖北","天门","1330.37","0.00082793861966264014"
"江西","鹰潭","1293.85","0.00080521086844299476"
"陕西","铜川","1286.50","0.00080063669069205299"
"云南","昭通","1277.07","0.00079476805175445015"
"内蒙古","锡林郭勒盟","1262.64","0.00078578772727198895"
"湖北","黄石","1235.99","0.00076920244331789396"
"河北","沧州","1221.68","0.00076029679928850937"
"湖北","荆门","1181.09","0.00073503613603534930"
"内蒙古","赤峰","1176.58","0.00073222939567388707"
"四川","凉山","1144.47","0.00071224615110480675"
"安徽","宣城","1135.78","0.00070683804162784294"
"甘肃","兰州","1126.43","0.00070101918965895783"
"吉林","辽源","1093.85","0.00068074344664866084"
"宁夏","吴忠","1085.04","0.00067526065671862043"
"陕西","商洛","1071.24","0.00066667240461481139"
"新疆","昌吉","1056.40","0.00065743692191767181"
"辽宁","丹东","1031.68","0.00064205274858389213"
"湖北","咸宁","1027.46","0.00063942648598403169"
"湖北","潜江","994.88","0.00061915074297373469"
"四川","攀枝花","993.63","0.00061837282158752010"
"青海","海西","975.67","0.00060719564711038892"
"广西","防城港","967.69","0.00060222939698079499"
"甘肃","白银","912.78","0.00056805686632716061"
"广西","贺州","907.45","0.00056473980953634162"
"广西","桂林","906.15","0.00056393077129467844"
"吉林","通化","904.34","0.00056280434112743972"
"四川","宜宾","897.84","0.00055875914991912387"
"四川","内江","895.79","0.00055748335884573195"
"山东","淄博","881.06","0.00054831633323057925"
"河北","邯郸","867.86","0.00054010148339215321"
"云南","丽江","855.66","0.00053250897066269884"
"湖北","十堰","839.13","0.00052222173825139715"
"辽宁","盘锦","826.61","0.00051443007764707184"
"云南","西双版纳","808.03","0.00050286705416237822"
"辽宁","葫芦岛","804.27","0.00050052706663264474"
"新疆","巴音郭楞","791.29","0.00049244913095819247"
"甘肃","嘉峪关","785.17","0.00048864042785128585"
"广东","梅州","773.43","0.00048133419019195845"
"陕西","宝鸡","769.42","0.00047883861838498205"
"黑龙江","绥化","764.12","0.00047554023170743221"
"山东","滨州","741.62","0.00046153764675556964"
"山东","德州","735.56","0.00045776628387520132"
"辽宁","辽阳","730.82","0.00045481640597867561"
"云南","德宏","693.26","0.00043144142416569969"
"广西","崇左","676.17","0.00042080568297337386"
"山东","日照","674.37","0.00041968547617722486"
"山西","长治","660.52","0.00041106610721796723"
"广西","来宾","656.17","0.00040835894079394047"
"云南","保山","651.05","0.00040517257479600552"
"辽宁","朝阳","632.74","0.00039377758233073425"
"安徽","安庆","628.46","0.00039111397950433550"
"云南","楚雄","610.21","0.00037975632726560253"
"海南","屯昌县","602.51","0.00037496433152652067"
"云南","文山","602.05","0.00037467805645639371"
"湖北","鄂州","601.48","0.00037432332430427986"
"安徽","马鞍山","596.61","0.00037129254258358782"
"湖北","黄冈","571.12","0.00035542916967589996"
"辽宁","抚顺","547.02","0.00034043084534968273"
"四川","广元","544.09","0.00033860739762039573"
"贵州","安顺","527.75","0.00032843840925979865"
"广东","汕尾","512.97","0.00031924026678919738"
"黑龙江","齐齐哈尔","496.34","0.00030889080066699851"
"四川","广安","495.80","0.00030855473862815381"
"四川","甘孜","475.87","0.00029615156004634843"
"广东","河源","464.87","0.00028930585184766007"
"黑龙江","大兴安岭","433.82","0.00026998228461408972"
"山东","莱芜","395.36","0.00024604719940303931"
